Date,Total Stakes,Total Paid,Profit
Τετάρτη 31/05/2023,"387,024.00€","6,162.00€","380,862.00€"
Σάββατο 27/05/2023,"405,857.00€","7,153.00€","398,704.00€"
Τετάρτη 24/05/2023,"517,439.00€","1,210,466.00€","-693,027.00€"
Σάββατο 20/05/2023,"585,426.00€","23,958.00€","561,468.00€"
Τετάρτη 17/05/2023,"512,610.00€","9,368.00€","503,242.00€"
Σάββατο 13/05/2023,"548,051.00€","34,243.00€","513,808.00€"
Τετάρτη 10/05/2023,"488,271.00€","8,717.00€","479,554.00€"
Σάββατο 06/05/2023,"539,988.00€","22,126.00€","517,862.00€"
Τετάρτη 03/05/2023,"469,961.00€","12,107.00€","457,854.00€"
Σάββατο 29/04/2023,"514,856.00€","10,670.00€","504,186.00€"
Τετάρτη 26/04/2023,"441,467.00€","7,812.00€","433,655.00€"
Σάββατο 22/04/2023,"429,574.00€","7,658.00€","421,916.00€"
Τετάρτη 19/04/2023,"380,276.00€","5,387.00€","374,889.00€"
Σάββατο 15/04/2023,"370,634.00€","6,728.00€","363,906.00€"
Τετάρτη 12/04/2023,"415,519.00€","6,865.00€","408,654.00€"
Σάββατο 08/04/2023,"438,499.00€","10,257.00€","428,242.00€"
Τετάρτη 05/04/2023,"406,910.00€","18,711.00€","388,199.00€"
Σάββατο 01/04/2023,"423,478.00€","7,197.00€","416,281.00€"
Τετάρτη 29/03/2023,"366,198.00€","7,155.00€","359,043.00€"
Κυριακή 26/03/2023,"338,297.00€","5,588.00€","332,709.00€"
Τετάρτη 22/03/2023,"369,722.00€","20,539.00€","349,183.00€"
Σάββατο 18/03/2023,"390,439.00€","6,418.00€","384,021.00€"
Τετάρτη 15/03/2023,"384,960.00€","7,314.00€","377,646.00€"
Σάββατο 11/03/2023,"426,433.00€","7,606.00€","418,827.00€"
Τετάρτη 08/03/2023,"390,686.00€","9,152.00€","381,534.00€"
Σάββατο 04/03/2023,"402,424.00€","7,918.00€","394,506.00€"
Τετάρτη 01/03/2023,"374,721.00€","8,281.00€","366,440.00€"
Σάββατο 25/02/2023,"426,875.00€","7,826.00€","419,049.00€"
Τετάρτη 22/02/2023,"391,584.00€","8,045.00€","383,539.00€"
Σάββατο 18/02/2023,"403,326.00€","7,902.00€","395,424.00€"
Τετάρτη 15/02/2023,"392,926.00€","6,540.00€","386,386.00€"
Σάββατο 11/02/2023,"418,716.00€","8,866.00€","409,850.00€"
Τετάρτη 08/02/2023,"392,044.00€","6,279.00€","385,765.00€"
Σάββατο 04/02/2023,"473,720.00€","8,272.00€","465,448.00€"
Τετάρτη 01/02/2023,"841,694.00€","1,215,318.00€","-373,624.00€"
Σάββατο 28/01/2023,"834,610.00€","31,621.00€","802,989.00€"
Τετάρτη 25/01/2023,"719,224.00€","27,072.00€","692,152.00€"
Σάββατο 21/01/2023,"708,625.00€","13,994.00€","694,631.00€"
Τετάρτη 18/01/2023,"631,545.00€","12,723.00€","618,822.00€"
Σάββατο 14/01/2023,"641,205.00€","27,763.00€","613,442.00€"
Τετάρτη 11/01/2023,"600,622.00€","29,359.00€","571,263.00€"
Σάββατο 07/01/2023,"593,820.00€","12,386.00€","581,434.00€"
Τετάρτη 04/01/2023,"574,173.00€","9,265.00€","564,908.00€"
Σάββατο 31/12/2022,"744,136.00€","40,385.00€","703,751.00€"
Τετάρτη 28/12/2022,"558,639.00€","12,797.00€","545,842.00€"
Σάββατο 24/12/2022,"662,125.00€","14,466.00€","647,659.00€"
Τετάρτη 21/12/2022,"522,435.00€","12,016.00€","510,419.00€"
